u_id,u_school,u_keyboard,session_type,session_rating,avgcpm,session
201008,bmc,swc,5,5,26.82,4
201008,bmc,swc,6,4,27.038,5
201008,bmc,swc,7,5,33.406,6
201008,bmc,swc,8,5,35,7
201008,bmc,swc,9,5,39.19,8
201008,bmc,swc,10,5,38.747,9
201008,bmc,swc,11,5,38.796,10
201008,bmc,swc,12,4,38.518,11
201008,bmc,swc,13,4,40.133,12
201008,bmc,swc,14,5,38.103,13
201008,bmc,swc,15,5,41.058,14
201008,bmc,swc,16,5,53.298,15
201008,bmc,swc,17,5,51.735,16
201008,bmc,swc,18,5,48.065,17
201008,bmc,swc,19,5,52.495556,18
201008,bmc,swc,20,5,52.267,19
201008,bmc,swc,21,4,48.503,20
201008,bmc,swc,22,5,48.585,21
201008,bmc,swc,23,5,52.011,22
201008,bmc,swc,24,5,50.647,23
201008,bmc,swc,25,5,44.352,24
201008,bmc,swc,26,4,53.282,25
201008,bmc,swc,27,5,48.497,26
201008,bmc,swc,28,4,45.6,27
201008,bmc,swc,29,5,54.368,28
201008,bmc,swc,30,5,53.685,29
201008,bmc,swc,31,5,49.697,30
201009,bmc,sparsh,2,3,15.037,1
201009,bmc,sparsh,3,2,17.672,2
201009,bmc,sparsh,4,4,20.118,3
201009,bmc,sparsh,5,4,22.886667,4
201009,bmc,sparsh,6,4,26.473,5
201009,bmc,sparsh,7,4,20.26,6
201009,bmc,sparsh,8,2,18.241,7
201009,bmc,sparsh,9,2,16.841,8
201009,bmc,sparsh,10,4,18.355,9
201009,bmc,sparsh,11,5,22.512,10
201009,bmc,sparsh,12,5,24.364,11
201009,bmc,sparsh,13,4,20.214,12
201009,bmc,sparsh,14,3,18.956,13
201009,bmc,sparsh,15,4,23.812,14
201009,bmc,sparsh,16,3,23.959,15
201009,bmc,sparsh,17,3,23.266,16
201009,bmc,sparsh,18,2,31.12,17
201009,bmc,sparsh,19,2,25.383,18
201009,bmc,sparsh,20,2,25.554,19
201009,bmc,sparsh,21,4,21.721,20
201009,bmc,sparsh,22,2,29.453,21
201009,bmc,sparsh,23,5,28.479,22
201009,bmc,sparsh,24,4,20.535,23
201009,bmc,sparsh,25,2,30.059,24
201009,bmc,sparsh,26,4,29.662,25
201009,bmc,sparsh,27,4,28.038,26
201009,bmc,sparsh,28,4,29.79,27
201009,bmc,sparsh,29,3,31.122,28
201009,bmc,sparsh,30,3,34.516,29
201009,bmc,sparsh,31,3,28.647,30
201010,bmc,sparsh,2,4,12.014444,1
201010,bmc,sparsh,3,3,15.45,2
201010,bmc,sparsh,4,4,16.42,3
201010,bmc,sparsh,5,3,19.031111,4
201010,bmc,sparsh,6,5,20.307,5
201010,bmc,sparsh,7,5,23.002,6
201010,bmc,sparsh,8,2,22.1575,7
201010,bmc,sparsh,9,5,20.086,8
201010,bmc,sparsh,10,4,22.807,9
201010,bmc,sparsh,11,5,24.01,10
201010,bmc,sparsh,12,2,23.259,11
201010,bmc,sparsh,13,4,28.721,12
201010,bmc,sparsh,14,5,25.832,13
201010,bmc,sparsh,15,5,27.636,14
201010,bmc,sparsh,16,5,27.302,15
201010,bmc,sparsh,17,5,26.82,16
201010,bmc,sparsh,18,5,27.511,17
201010,bmc,sparsh,19,5,30.593,18
201010,bmc,sparsh,20,5,28.735,19
201010,bmc,sparsh,21,5,27.044,20
201010,bmc,sparsh,22,5,27.144,21
201010,bmc,sparsh,23,5,29.238,22
201010,bmc,sparsh,24,5,26.013,23
201010,bmc,sparsh,25,5,23.321,24
201010,bmc,sparsh,26,5,25.017,25
201010,bmc,sparsh,27,5,27.862,26
201010,bmc,sparsh,28,5,25.966,27
201010,bmc,sparsh,29,3,27.304,28
201010,bmc,sparsh,30,4,28.826,29
201010,bmc,sparsh,31,5,32.336,30
201011,bmc,swiftkey,2,5,21.117,1
201011,bmc,swiftkey,3,5,33.425,2
201011,bmc,swiftkey,4,4,38.295,3
201011,bmc,swiftkey,5,4,33.21,4
201011,bmc,swiftkey,6,4,38.002,5
201011,bmc,swiftkey,7,5,44.054,6
201011,bmc,swiftkey,8,5,41.028,7
201011,bmc,swiftkey,9,5,46.463,8
201011,bmc,swiftkey,10,5,49.632,9
201011,bmc,swiftkey,11,5,42.855,10
201011,bmc,swiftkey,12,5,43.661,11
201011,bmc,swiftkey,13,4,45.282,12
201011,bmc,swiftkey,14,4,46.044,13
201011,bmc,swiftkey,15,4,50.298,14
201011,bmc,swiftkey,16,5,46.855,15
